layer,prompt_last,answer_first,answer_last,answer_mean
0,-0.015,0.1287060546875,-0.1927978515625,0.1814306640625
5,-0.01875,0.2135498046875,-0.11169189453125,0.3170361328125
10,-0.0025,0.1250341796875,-0.109921875,0.1585791015625
15,0.0175,0.1181396484375,-0.4178076171875,0.1274462890625
20,-0.105,0.2464013671875,-0.309580078125,0.296943359375
25,-0.125,0.2804541015625,-0.0644677734375,0.323505859375
28,2.60609375,0.4348974609375,0.20942138671875,0.4188134765625
30,2.723125,0.49046478271484373,0.2608544921875,0.4498876953125
32,2.82197265625,0.4209033203125,0.4681982421875,0.3972216796875
34,3.02033203125,0.187802734375,0.5929443359375,0.155986328125
35,3.738125,-0.0066796875,1.9116632080078124,-0.0818359375
