position,layer,auc,acc,f1,logloss,ece
prompt_last,0,0.5,0.14666666666666667,0.2558139534883721,0.6931471805599454,0.35333333333333333
prompt_last,1,0.5532670454545454,0.74,0.1702127659574468,1.2702140534765594,0.23116976392828747
prompt_last,2,0.5717329545454546,0.7533333333333333,0.17777777777777778,1.101551408833656,0.22658244035148484
prompt_last,3,0.62109375,0.74,0.13333333333333333,1.0320567682378705,0.213669936848286
prompt_last,4,0.6118607954545454,0.7666666666666667,0.18604651162790697,0.987432443735986,0.19099764053965715
prompt_last,5,0.6466619318181819,0.7666666666666667,0.18604651162790697,1.0107206757363394,0.19966159658512744
prompt_last,6,0.6807528409090908,0.7666666666666667,0.2553191489361702,0.8332310958960194,0.17114345028137762
prompt_last,7,0.6985085227272727,0.82,0.4,0.867963626669601,0.17580559060353523
prompt_last,8,0.6960227272727272,0.8333333333333334,0.4186046511627907,0.8079728900483775,0.14310162406804847
prompt_last,9,0.6530539772727273,0.8266666666666667,0.35,0.9049728419111572,0.14366116819202007
prompt_last,10,0.6470170454545454,0.7933333333333333,0.16216216216216217,0.9384519744391704,0.17766731300789207
prompt_last,11,0.6828835227272727,0.8266666666666667,0.2777777777777778,0.7830159072202776,0.142564581312388
prompt_last,12,0.6803977272727273,0.8066666666666666,0.21621621621621623,0.7723840867308631,0.160131876784263
prompt_last,13,0.6438210227272727,0.7933333333333333,0.27906976744186046,0.8532616198999634,0.16421359847843697
prompt_last,14,0.71484375,0.78,0.23255813953488372,0.8241979000743627,0.16783055104439404
prompt_last,15,0.6651278409090909,0.8133333333333334,0.2631578947368421,0.7805353396425934,0.13983986780748564
prompt_last,16,0.70703125,0.78,0.15384615384615385,0.7983265176658378,0.1640635792293481
prompt_last,17,0.7194602272727272,0.8,0.2857142857142857,0.7958511818990753,0.1634494456723936
prompt_last,18,0.6814630681818181,0.7733333333333333,0.15,0.8728356096140235,0.17693720200231222
prompt_last,19,0.6864346590909091,0.76,0.05263157894736842,0.8749464488949834,0.2019909792438202
prompt_last,20,0.6985085227272727,0.7666666666666667,0.05405405405405406,0.899094699557728,0.19345306955888036
prompt_last,21,0.7077414772727273,0.7666666666666667,0.05405405405405406,0.8937985989186195,0.18845502867324665
prompt_last,22,0.7080965909090909,0.7733333333333333,0.15,0.8810520706367074,0.18904086470702708
prompt_last,23,0.6669034090909092,0.7666666666666667,0.05405405405405406,0.9092340488485606,0.19686141156715056
prompt_last,24,0.6558948863636364,0.78,0.05714285714285714,0.9108834000733871,0.1867476442959754
