layer,rescue_mean,rescue_sem,corruption_mean,corruption_sem
0,-0.028645833333333332,0.016058089311918065,-0.005729166666666666,0.0054869076865433205
1,-0.027083333333333334,0.013530978688153315,0.0109375,0.00678384167065388
2,-0.027604166666666666,0.014603625515017505,-0.0036458333333333334,0.006591851798039368
3,-0.014583333333333334,0.015335276899769124,0.005729166666666666,0.009532578079907712
4,-0.0203125,0.01610082773169856,-0.0078125,0.005029481228080199
5,-0.025520833333333333,0.012852910246087512,-0.007291666666666667,0.007807868997814769
6,-0.003125,0.013695044851048213,0.0020833333333333333,0.013007632196920782
7,-0.0234375,0.016464018664660147,-0.0015625,0.00885186857431494
8,-0.0234375,0.014426707275483897,0.022916666666666665,0.013337130535685927
9,-0.016666666666666666,0.014795089588303474,0.011979166666666667,0.011787222795825399
10,-0.024479166666666666,0.017275526897080715,0.003125,0.010666280103672503
11,-0.04010416666666667,0.01927916017547858,0.009375,0.010605067086853649
12,-0.0328125,0.021718500198403563,0.014583333333333334,0.011059995269907228
13,-0.023958333333333335,0.018985309714453006,0.007291666666666667,0.009557445408239672
14,-0.0020833333333333333,0.01886346839302928,0.005208333333333333,0.009804033266316315
15,-0.022916666666666665,0.018219739625939695,0.021354166666666667,0.013227355245625697
16,0.0046875,0.030864154429464507,0.0140625,0.010582661765110045
17,0.027604166666666666,0.041894505113898,0.0010416666666666667,0.012012333312906796
18,-0.0026041666666666665,0.04441637636383657,0.0020833333333333333,0.020089138741378895
19,0.0005208333333333333,0.054389025104279835,-0.025,0.018819316317727038
20,-0.0171875,0.0627314507845524,-0.003125,0.022936780945435407
21,0.115625,0.13526293356983157,0.03125,0.04024933142992012
22,0.1859375,0.24175019322531918,0.15208333333333332,0.2029960416850903
23,0.2682291666666667,0.24438384875224595,0.16666666666666666,0.19431295157077946
24,0.6223958333333334,0.40780304883861734,-0.015625,0.2065266715439625
25,0.6692708333333334,0.4227757177805385,0.019791666666666666,0.2057627433922065
26,1.9653645833333333,0.8605677558893838,0.7575520833333333,0.5603248709461285
27,2.310677083333333,0.92956925395215,1.6294108072916667,0.7341230520266874
28,2.3510416666666667,0.9837518328051306,1.7466145833333333,0.7692513584044205
29,2.351302083333333,0.9890766583693117,1.76953125,0.7762565789700685
30,2.4643229166666667,0.9875063244008611,1.8109375,0.8001289009516035
31,2.402473958333333,0.9777456980076267,1.7790364583333333,0.7831553608250411
32,2.334375,0.9884360948632303,1.7684895833333334,0.7733821258645031
33,2.3275390625,0.9963815872293045,1.769921875,0.7737256018770832
34,2.4674479166666665,1.007036303543228,1.7819010416666667,0.7758560821261081
35,2.7583333333333333,0.8227435427948665,1.7158203125,0.710463176110989
