layer,mean_correct,mean_incorrect,sem_correct,sem_incorrect
0,4.88109469126506,-6.51704345703125,4.563973159194145,4.020720988275686
1,-0.9217338102409639,-0.7007199096679687,0.3488929676440692,0.3732168352286834
2,-1.298804593373494,-0.656859130859375,0.4494572257677989,0.46948269908179946
3,-1.3970961972891567,-0.7978656005859375,0.46638885045192013,0.46368257964581566
4,-1.2879565135542168,-0.6921496391296387,0.4408291222950935,0.4325672289424472
5,-1.149449359939759,-0.6759478759765625,0.39522114462281155,0.4035583470949853
6,-1.0516754518072289,-0.66716552734375,0.36366741476697917,0.3698587507534187
7,-0.8641666274472891,-0.6527639770507813,0.2968455716136315,0.3457233741353081
8,-0.9068088761295181,-0.7162115478515625,0.296502130865986,0.31788140154800804
9,-0.9408885542168675,-0.7950227355957031,0.31945546805035485,0.3234971261209669
10,-0.8931428840361446,-0.777191162109375,0.2956475842880223,0.31152976603731647
11,-0.7110698653990963,-0.4397705078125,0.29985974953824013,0.3288650754574633
12,-0.6879235692771084,-0.7653173828125,0.32439254684990926,0.3119112148464971
13,-0.7926863704819277,-0.755238037109375,0.31874484990052926,0.31941311028817837
14,-0.7305687594126506,-0.5851806640625,0.30767535659556194,0.3001650388017738
15,-0.8533156061746988,-0.5448382568359375,0.3313348962031813,0.3070910918029333
16,-0.5679681617093374,-0.6347552490234375,0.2523380528935137,0.2962231503662153
17,-0.5659473832831325,-0.7553704833984375,0.2830872837346832,0.2656457541050317
18,-0.531214702560241,-0.7905057144165039,0.3153684671806163,0.2642981860026435
19,-0.33891425075301207,-0.6725924491882325,0.2813585248436468,0.2501364473665589
20,-0.3775899496423193,-0.5305835723876953,0.27455325817592996,0.24566215663105612
21,-0.45805487575301207,-0.5216083526611328,0.28033468475668527,0.24031967194556042
22,-0.4117269860692771,-0.5080609130859375,0.25745860171505297,0.24458543142532904
23,-0.3427734375,-0.3130760383605957,0.24228397300075954,0.25293877841648643
24,-0.6720441335655121,-0.33540451049804687,0.3077402688916177,0.3062978626383684
25,-0.5801957831325302,-0.313477783203125,0.2894006380326085,0.2939916180380504
26,-0.5865963855421686,-0.314066162109375,0.27559392977861,0.290470812182714
27,-0.6950536521084337,-0.32352752685546876,0.3043929319815459,0.30288520562678295
28,-0.846667921686747,-0.447503662109375,0.3499470316277689,0.34215357051986833
29,-0.7317394578313253,-0.42285064697265623,0.33473527611607157,0.29896566792124774
30,-0.5823783414909639,-0.374912109375,0.3051088623318368,0.26830865789990804
31,-0.5533432558358434,-0.31305206298828125,0.2859181818472663,0.2573047074513297
32,-0.3633989081325301,-0.5886979675292969,0.194102187363129,0.22164208710696706
33,-0.43529979292168675,-0.5505105972290039,0.22083599757242123,0.20772062410404057
34,-0.21973832831325302,-0.8212356567382812,0.18046256737589175,0.19435229311218227
35,0.055562582360692774,-0.8963595581054687,0.2199073524746793,0.22966070877970562
36,-1.3813182417168675,-0.694490966796875,0.5215882148700514,0.5031916106513551
