layer,mean_correct,mean_incorrect,sem_correct,sem_incorrect
0,7.043674698795181,-0.69297607421875,2.8246263304797363,3.0195991936087894
1,-0.42634012612951805,-0.26577392578125,0.2704552074461711,0.31590734592031244
2,-0.8722232680722891,-0.2529541015625,0.37441219091453737,0.4394410277977693
3,-0.8840596762048193,-0.323583984375,0.38656702268758353,0.47368809519901006
4,-0.788597750376506,-0.28350341796875,0.33595245633734755,0.4022921736860668
5,-0.8697171498493976,-0.298116455078125,0.3554652099712117,0.43433798373865035
6,-0.5690653237951807,-0.28904296875,0.25153511016960994,0.31818784144880013
7,-0.4780332266566265,-0.23785888671875,0.2200993343615405,0.26468152960891755
8,-0.5074918815888554,-0.19633758544921875,0.208693535312624,0.2703782418676103
9,-0.3849774096385542,-0.3415216064453125,0.17028286548071725,0.2372771477845148
10,-0.09146743222891567,-0.0273846435546875,0.11929435433197916,0.17996499967881407
11,-0.011424604668674699,-0.336968994140625,0.10126411718524311,0.20722872381089932
12,-0.20971238469503012,-0.36226806640625,0.13284279185417922,0.2163974467649103
13,0.045063064759036146,-0.5707850646972656,0.12423090154239348,0.20778080324711543
14,0.054499246987951805,-0.521964111328125,0.11179687099424562,0.2133569755711039
15,-0.020543109939759035,-0.3983898162841797,0.13919281250619361,0.19875163607147062
16,-0.1862223062170557,-0.362982177734375,0.13634825677332071,0.18493743489459433
17,-0.12619717149849397,-0.3557205963134766,0.11814420350359488,0.17619383413537976
18,-0.027968808829066265,-0.425965576171875,0.13491727638782985,0.18848008071301867
19,0.03602103727409638,-0.314561767578125,0.11143546034118196,0.18447056000396445
20,0.126953125,-0.15510009765625,0.12182783256999845,0.17000841973505132
21,0.04702207266566265,-0.25319202423095705,0.1275975103915953,0.18082664534542717
22,-0.20508989081325302,-0.226468505859375,0.13764095864865197,0.1826128728646751
23,-0.23351903708584337,-0.04083389282226563,0.136967048373933,0.1656214568084559
24,-0.4971762048192771,-0.05120101928710938,0.1945816591733115,0.19566404638288643
25,-0.6822642131024096,-0.1554410934448242,0.27353255852725633,0.2920537047228249
26,-0.45459278520331325,-0.16008255004882813,0.2502483356224057,0.25468092085281535
27,-0.49351207319512425,-0.1848638153076172,0.2657877935779125,0.29909016324331894
28,-0.8350432981927711,-0.5226167297363281,0.3400533034357266,0.3449241920413347
29,-1.1059268813535392,-1.021742706298828,0.39252519098341326,0.4028981123723345
30,-1.0429628670933735,-1.1701034545898437,0.41556540944992015,0.4758566384751608
31,-1.066370952560241,-1.5987994384765625,0.4008475314727382,0.427772760281997
32,-1.6140813253012047,-2.39841796875,0.5388244840717752,0.5240057405528635
33,-1.8924134036144578,-3.0328466796875,0.6566933778458998,0.5631403226038996
34,-1.7750376506024097,-3.214462890625,0.4864542296570527,0.397732943697834
35,-0.9822100903614458,-3.228359375,0.2875896512956682,0.24009015430884492
36,-1.3471385542168675,-3.85140625,0.36737458801130923,0.302704080943943
