layer,same_q_mean,same_q_sem,cross_q_mean,cross_q_sem
0,-0.059345703125,1.8513709634169353,1.2507801055908203,1.52966946756137
1,-0.059345703125,1.8513709634169353,1.1961593627929688,1.5300776743474431
2,-0.059345703125,1.8513709634169353,1.2436599731445312,1.5321656162598065
3,-0.059345703125,1.8513709634169353,1.0279617309570312,1.5558871196412087
4,-0.059345703125,1.8513709634169353,1.0596580505371094,1.5489652286520692
5,-0.059345703125,1.8513709634169353,1.0182266235351562,1.5529876682931039
6,-0.059345703125,1.8513709634169353,1.0797042846679688,1.554372317439792
7,-0.059345703125,1.8513709634169353,1.0968704223632812,1.5425809350498292
8,-0.059345703125,1.8513709634169353,0.9724702835083008,1.5232942938708924
9,-0.059345703125,1.8513709634169353,1.0053939819335938,1.5319489809907598
10,-0.059345703125,1.8513709634169353,1.0148162841796875,1.5217836562737586
11,-0.059345703125,1.8513709634169353,0.9252662658691406,1.474826985900035
12,-0.059345703125,1.8513709634169353,0.6296920776367188,1.5109826984389032
13,-0.059345703125,1.8513709634169353,0.5961380004882812,1.4868182180631015
14,-0.059345703125,1.8513709634169353,0.7475814819335938,1.4570737197821748
15,-0.059345703125,1.8513709634169353,0.6953353881835938,1.4522810992886666
16,-0.059345703125,1.8513709634169353,0.39754486083984375,1.437474257471324
17,-0.059345703125,1.8513709634169353,0.19594573974609375,1.4665717774485452
18,-0.059345703125,1.8513709634169353,0.33626556396484375,1.4061667048273678
19,-0.059345703125,1.8513709634169353,0.7237777709960938,1.5032517519557993
20,-0.059345703125,1.8513709634169353,0.9035873413085938,1.420336447072295
21,-0.059345703125,1.8513709634169353,1.3089218139648438,1.459798167941094
22,-0.059345703125,1.8513709634169353,1.2311019897460938,1.4486367261877389
23,-0.059345703125,1.8513709634169353,1.1816329956054688,1.4475646482472884
24,-0.059345703125,1.8513709634169353,1.4909896850585938,1.4113596736877356
25,-0.059345703125,1.8513709634169353,1.6009750366210938,1.4129952757151725
26,-0.059345703125,1.8513709634169353,1.9663314819335938,1.4132159514663742
27,-0.059345703125,1.8513709634169353,4.062400817871094,1.3871390631641476
28,-0.059345703125,1.8513709634169353,5.344169616699219,1.5376396522208762
29,-0.059345703125,1.8513709634169353,5.357963562011719,1.548847793120134
30,-0.059345703125,1.8513709634169353,5.722011566162109,1.616499969082723
31,-0.059345703125,1.8513709634169353,6.94268798828125,1.644367126933549
32,-0.059345703125,1.8513709634169353,7.147239685058594,1.662291272516772
33,-0.059345703125,1.8513709634169353,7.384483337402344,1.6785122248348696
34,-0.059345703125,1.8513709634169353,7.676261901855469,1.7089670113118896
35,0.46663330078125,1.742715599463121,6.620140075683594,1.770572002493138
