position,layer,auc,acc,f1,logloss,ece
prompt_last,0,0.5,0.11333333333333333,0.20359281437125748,0.6931471805599454,0.38666666666666666
prompt_last,1,0.6209641751437417,0.7733333333333333,0.15,0.8513149413553243,0.2012596812796261
prompt_last,2,0.648827952233525,0.8466666666666667,0.20689655172413793,0.7168322738563317,0.15646447938151323
prompt_last,3,0.6842105263157894,0.8266666666666667,0.07142857142857142,0.6724232072539157,0.16295798054137653
prompt_last,4,0.7173816895179125,0.8066666666666666,0.12121212121212122,0.6908235898107279,0.14932059043165488
prompt_last,5,0.6634232640424591,0.8266666666666667,0.1875,0.8390205984142797,0.1575933279661594
prompt_last,6,0.6727111897390535,0.8266666666666667,0.1875,0.7484321584063889,0.12814640904791796
prompt_last,7,0.6510393631136665,0.8466666666666667,0.14814814814814814,0.7184861017463426,0.12530997981870606
prompt_last,8,0.6519239274657231,0.8333333333333334,0.1935483870967742,0.7157917961315752,0.14975578566671743
prompt_last,9,0.6585581601061476,0.8266666666666667,0.2777777777777778,0.7272947417635971,0.15963989565299955
prompt_last,10,0.6656346749226006,0.8133333333333334,0.2631578947368421,0.732628986981808,0.15596292197436057
prompt_last,11,0.703670942061035,0.8666666666666667,0.4117647058823529,0.6181390761846164,0.10677332147457942
prompt_last,12,0.7218045112781956,0.8733333333333333,0.45714285714285713,0.5886350487436665,0.11601567300150009
prompt_last,13,0.7863777089783281,0.8733333333333333,0.4864864864864865,0.496837085307237,0.1057804736443111
prompt_last,14,0.7602830605926582,0.8533333333333334,0.3125,0.5651916526976263,0.10462573461293075
prompt_last,15,0.7302078726227332,0.8466666666666667,0.25806451612903225,0.527648821775494,0.09317859801997853
prompt_last,16,0.7284387439186201,0.8466666666666667,0.3783783783783784,0.5563207067616872,0.14426634711728686
prompt_last,17,0.6643078283945159,0.8066666666666666,0.21621621621621623,0.7045346859927141,0.1611661848128521
prompt_last,18,0.6837682441397611,0.8133333333333334,0.2631578947368421,0.7433048280729295,0.14944606290138762
prompt_last,19,0.7182662538699691,0.84,0.2,0.6561788898856926,0.13054719417562183
prompt_last,20,0.6775762936753649,0.84,0.25,0.6483565250775696,0.1328455911341296
prompt_last,21,0.7134011499336577,0.8733333333333333,0.3448275862068966,0.5636729850525429,0.11666551940003309
prompt_last,22,0.6780185758513932,0.8666666666666667,0.23076923076923078,0.5878240585590306,0.12031885314741712
prompt_last,23,0.6833259619637329,0.8733333333333333,0.24,0.5784412539124486,0.10147738508488033
