layer,rescue_mean,rescue_sem,corruption_mean,corruption_sem
0,0.005703125,0.025722757984328052,0.02125,0.026567131949083247
1,0.038203125,0.02434625959865935,0.003125,0.03059628756074828
2,0.032890625,0.023797262287557627,-0.00875,0.02492237950116321
3,0.031640625,0.025310631200304204,0.00875,0.027386698413645993
4,0.044765625,0.023742085955278085,0.004375,0.029020601518576418
5,0.023046875,0.02899821729771181,0.0125,0.03259601202601324
6,0.009140625,0.027283328332203392,0.011875,0.031085693051627467
7,0.016953125,0.030436603634773587,0.01125,0.02874673894548737
8,0.030703125,0.030601076832691892,-0.0375,0.02985642728124047
9,0.020390625,0.026958285285006767,0.02625,0.03311155387474287
10,0.034765625,0.030703075302122625,-0.019375,0.03310600870687977
11,-0.000703125,0.026310312501855854,-0.008125,0.03291573047191874
12,0.037265625,0.03151783852848752,-0.010625,0.02968072291067049
13,0.057265625,0.03156474504701111,0.0,0.0343693177121688
14,0.022578125,0.03393922827378832,-0.011875,0.03543138174697679
15,0.01265625,0.0324796285313002,-0.02375,0.0333841279652472
16,-0.054375,0.030424214246221704,-0.015,0.031452344904633105
17,0.016953125,0.02987964341856028,0.015625,0.0335206326387197
18,0.0590625,0.0331935905428292,-0.003125,0.03960991432078591
19,0.013671875,0.032953241687204496,-0.038125,0.031090719073382653
20,-0.022109375,0.05307437960549151,-0.02,0.051726141843365804
21,-0.1015625,0.0711021629637594,0.018125,0.07093180043182325
22,-0.143125,0.0807924133969273,0.09875,0.08182183388313903
23,-0.196796875,0.12299479999250097,0.24125,0.102732358582873
24,0.02640625,0.202577976161727,0.13875,0.16140293135504075
25,0.135,0.21481358197283523,0.1,0.15575421342615417
26,0.45154296875,0.4315912787209456,0.82375,0.27677800219670634
27,5.320048828125,1.0661344223804747,0.825625,0.5295067648883252
28,6.86650390625,1.1314288654867148,1.609921875,0.648363550094251
29,7.118671875,1.1375304709710836,1.610390625,0.6429723079526406
30,7.47421875,1.1828404316797791,1.664765625,0.6739178761785503
31,7.561953125,1.1888892470384416,1.6148828125,0.6917362773652221
32,7.56390625,1.1910300264585194,1.6305078125,0.6927945271626033
33,7.559296875,1.1929266307745554,1.6423779296875,0.6946548460997212
34,7.699140625,1.2052363398469594,1.68861328125,0.7049498660665859
35,6.627578125,1.0952987339207145,0.8965625,0.6597016208223421
